iter	Passed	Remaining
1080	249789	96819
1081	249911	96546
1082	250134	96312
1083	250373	96084
1084	250616	95858
1085	250822	95617
1086	251047	95384
1087	251295	95159
1088	251522	94927
1089	251738	94690
1090	251980	94463
1091	252186	94223
1092	252403	93987
1093	252626	93753
1094	252879	93530
1095	253105	93298
1096	253350	93072
1097	253541	92826
1098	253787	92601
1099	254001	92364
1100	254247	92138
1101	254447	91896
1102	254661	91659
1103	254892	91428
1104	255105	91191
1105	255326	90957
1106	255559	90727
1107	255805	90501
1108	256030	90268
1109	256263	90038
1110	256458	89795
1111	256720	89575
1112	256905	89328
1113	257127	89094
1114	257385	88872
1115	257604	88637
1116	257829	88405
1117	258053	88172
1118	258278	87939
1119	258544	87720
1120	258760	87484
1121	258983	87251
1122	259194	87013
1123	259430	86784
1124	259631	86543
1125	259869	86315
1126	260085	86079
1127	260310	85847
1128	260545	85617
1129	260769	85384
1130	260981	85147
1131	261176	84905
1132	261386	84668
1133	261609	84434
1134	261825	84199
1135	262073	83974
1136	262306	83744
1137	262527	83510
1138	262743	83275
1139	262959	83039
1140	263187	82808
1141	263410	82575
1142	263630	82341
1143	263867	82112
1144	264081	81876
1145	264296	81641
1146	264540	81414
1147	264755	81179
1148	264974	80945
1149	265184	80708
1150	265376	80466
1151	265656	80250
1152	265877	80016
1153	266086	79779
1154	266325	79551
1155	266559	79322
1156	266789	79091
1157	267001	78855
1158	267216	78620
1159	267442	78388
1160	267732	78175
1161	267955	77942
1162	268185	77711
1163	268399	77476
1164	268621	77243
1165	268868	77017
1166	269020	76764
1167	269235	76529
1168	269490	76305
1169	269705	76070
1170	269923	75836
1171	270116	75595
1172	270314	75356
1173	270544	75125
1174	270775	74895
1175	270988	74660
1176	271213	74428
1177	271405	74187
1178	271608	73949
1179	271793	73706
1180	272003	73470
1181	272245	73243
1182	272523	73026
1183	272775	72801
1184	273006	72571
1185	273236	72340
1186	273459	72108
1187	273689	71878
1188	273907	71644
1189	274165	71421
1190	274404	71193
1191	274597	70953
1192	274816	70719
1193	275054	70491
1194	275287	70261
1195	275504	70027
1196	275713	69792
1197	275938	69560
1198	276153	69326
1199	276374	69093
1200	276595	68860
1201	276796	68623
1202	277018	68391
1203	277302	68174
1204	277540	67945
1205	277777	67716
1206	278018	67489
1207	278229	67254
1208	278433	67017
1209	278703	66796
1210	278919	66562
1211	279138	66330
1212	279345	66094
1213	279614	65873
1214	279850	65643
1215	280071	65411
1216	280281	65176
1217	280491	64941
1218	280729	64712
1219	280955	64481
1220	281196	64253
1221	281423	64022
1222	281626	63786
1223	281843	63552
1224	282064	63320
1225	282279	63086
1226	282494	62853
1227	282727	62623
1228	282945	62390
1229	283187	62163
1230	283413	61932
1231	283627	61698
1232	283851	61466
1233	284087	61237
1234	284316	61007
1235	284518	60770
1236	284798	60551
1237	285027	60320
1238	285235	60085
1239	285450	59852
1240	285722	59631
1241	285925	59395
1242	286167	59167
1243	286395	58936
1244	286621	58705
1245	286863	58477
1246	287094	58247
1247	287334	58019
1248	287572	57790
1249	287799	57559
1250	288060	57335
1251	288286	57104
1252	288500	56871
1253	288710	56636
1254	288916	56402
1255	289120	56166
1256	289322	55931
1257	289534	55697
1258	289750	55464
1259	289968	55232
1260	290171	54996
1261	290381	54762
1262	290597	54530
1263	290808	54296
1264	291011	54061
1265	291220	53827
1266	291438	53595
1267	291674	53366
1268	291936	53142
1269	292175	52913
1270	292397	52682
1271	292624	52451
1272	292832	52217
1273	293071	51989
1274	293281	51755
1275	293477	51519
1276	293694	51287
1277	293912	51055
1278	294111	50819
1279	294311	50584
1280	294518	50350
1281	294654	50105
1282	294883	49875
1283	295089	49641
1284	295304	49408
1285	295515	49176
1286	295757	48948
1287	295981	48717
1288	296191	48484
1289	296420	48254
1290	296685	48030
1291	296920	47801
1292	297178	47576
1293	297393	47343
1294	297614	47112
1295	297852	46884
1296	298091	46655
1297	298319	46425
1298	298559	46197
1299	298776	45965
1300	299026	45738
1301	299320	45518
1302	299500	45281
1303	299736	45052
1304	299957	44821
1305	300158	44587
1306	300375	44355
1307	300596	44124
1308	300815	43892
1309	301093	43670
1310	301347	43443
1311	301550	43209
1312	301762	42977
1313	302031	42753
1314	302234	42519
1315	302455	42288
1316	302676	42057
1317	302898	41826
1318	303113	41594
1319	303393	41371
1320	303615	41140
1321	303825	40908
1322	304032	40675
1323	304258	40445
1324	304434	40208
1325	304654	39977
1326	304894	39748
1327	305134	39520
1328	305367	39291
1329	305664	39069
1330	305907	38841
1331	306198	38619
1332	306464	38394
1333	306702	38165
1334	306942	37936
1335	307178	37707
1336	307430	37480
1337	307615	37244
1338	307853	37016
1339	308057	36783
1340	308278	36552
1341	308506	36321
1342	308766	36095
1343	308978	35863
1344	309238	35637
1345	309483	35408
1346	309720	35179
1347	309923	34946
1348	310137	34715
1349	310388	34487
1350	310630	34259
1351	310853	34028
1352	311082	33798
1353	311301	33567
1354	311523	33336
1355	311769	33108
1356	312033	32881
1357	312366	32662
1358	312684	32441
1359	312938	32214
1360	313174	31984
1361	313430	31757
1362	313689	31530
1363	313909	31298
1364	314192	31073
1365	314452	30846
1366	314673	30615
1367	315000	30394
1368	315288	30170
1369	315575	29945
1370	315845	29718
1371	316128	29493
1372	316395	29265
1373	316660	29038
1374	316986	28816
1375	317246	28589
1376	317530	28363
1377	317771	28133
1378	318028	27905
1379	318263	27675
1380	318545	27448
1381	318794	27219
1382	319027	26989
1383	319291	26761
1384	319524	26530
1385	319760	26300
1386	320029	26073
1387	320303	25845
1388	320469	25609
1389	320720	25380
1390	320924	25147
1391	321166	24918
1392	321403	24687
1393	321679	24460
1394	321925	24230
1395	322143	23999
1396	322402	23770
1397	322617	23538
1398	322828	23306
1399	323073	23076
1400	323308	22846
1401	323525	22614
1402	323827	22388
1403	324049	22157
1404	324259	21925
1405	324531	21696
1406	324773	21466
1407	325030	21237
1408	325265	21007
1409	325493	20776
1410	325738	20546
1411	325981	20316
1412	326221	20085
1413	326455	19855
1414	326780	19629
1415	327000	19398
1416	327225	19167
1417	327459	18936
1418	327682	18704
1419	327893	18472
1420	328154	18243
1421	328395	18013
1422	328697	17786
1423	328973	17557
1424	329177	17325
1425	329433	17095
1426	329651	16863
1427	329891	16633
1428	330104	16401
1429	330356	16171
1430	330609	15941
1431	330855	15711
1432	331068	15479
1433	331278	15247
1434	331486	15015
1435	331735	14784
1436	331957	14553
1437	332165	14321
1438	332368	14089
1439	332660	13860
1440	332975	13633
1441	333185	13401
1442	333485	13173
1443	333750	12943
1444	333975	12711
1445	334250	12482
1446	334511	12252
1447	334800	12023
1448	335122	11795
1449	335392	11565
1450	335640	11334
1451	335900	11104
1452	336173	10874
1453	336428	10643
1454	336716	10413
1455	336985	10183
1456	337195	9951
1457	337425	9720
1458	337734	9490
1459	337983	9259
